lap_distance_m,speed_kph,throttle,brake
1425.0,230.445301542777,1.0,0.0
1430.0,232.00183052398748,1.0,0.0
1435.0,233.90862634429106,1.0,0.0
1440.0,235.81542216459465,1.0,0.0
1445.0,236.85031067595557,0.9886625243205923,0.2834368919851929
1450.0,237.79175296554322,0.9761099604594237,0.5972509885144092
1455.0,238.73319525513088,0.9635573965982549,0.9110650850436254
1460.0,238.08521095295845,0.7404506287100243,1.0
1465.0,236.8086423693113,0.4340741686347096,1.0
1470.0,235.53207378566415,0.12769770855939488,1.0
1475.0,230.3830000000001,0.0,1.0
1480.0,222.46633333333344,0.0,1.0
1485.0,215.70972853068557,0.0,1.0
1490.0,214.12527727896904,0.0,1.0
1495.0,211.94037239129207,0.0,0.9184901839455439
1500.0,208.28396242335597,0.0,0.637227878719691
1505.0,204.6275524554199,0.0,0.35596557349383806
1510.0,200.9711424874838,0.0,0.07470326826798512
1515.0,198.65111580494076,0.0,0.0
1520.0,196.81439985306275,0.0,0.0
1525.0,195.22132064913265,0.02336038052602048,0.0
1530.0,193.82232792389482,0.06533016228315541,0.0
1535.0,192.43918367346942,0.18954489795918114,0.0
1540.0,191.0786394557823,0.43104149659864,0.0
1545.0,189.71809523809523,0.6725380952380987,0.0
1550.0,190.07857469164006,0.7986517816354499,0.0
1555.0,192.36272270443126,0.795796596619461,0.0
1560.0,194.64687071722247,0.792941411603472,0.0
1565.0,196.93101873001368,0.790086226587483,0.0
1570.0,197.9649751243781,0.7948248756218905,0.0
1575.0,198.96,0.7998000000000001,0.0
1580.0,199.9550248756219,0.8047751243781095,0.0
1585.0,200.9500497512438,0.8097502487562189,0.0
1590.0,201.69838235294117,0.8402632352941177,0.0
1595.0,202.43367647058824,0.8721259803921567,0.0
1600.0,203.16897058823528,0.9039887254901958,0.0
1605.0,203.90426470588235,0.9358514705882348,0.0
1610.0,204.9454347826087,0.9589086956521736,0.0
1615.0,206.0323913043478,0.9806478260869563,0.0
1620.0,207.40405845862685,1.0,0.0
1625.0,211.08400799074755,1.0,0.0
1630.0,214.46339285714285,1.0,0.0
1635.0,216.6955357142857,1.0,0.0
1640.0,218.92767857142854,1.0,0.0
1645.0,221.1598214285714,1.0,0.0
1650.0,223.39196428571427,1.0,0.0
1655.0,225.06436512580456,1.0,0.0
1660.0,226.5272088940901,1.0,0.0
1665.0,227.99005266237566,1.0,0.0
1670.0,229.45289643066124,1.0,0.0
1675.0,230.30486023181066,1.0,0.0
1680.0,230.79185740722704,1.0,0.0
1685.0,231.36705128205128,1.0,0.0
1690.0,232.0080769230769,1.0,0.0
1695.0,232.64910256410258,1.0,0.0
1700.0,233.2901282051282,1.0,0.0
1705.0,233.93115384615385,1.0,0.0
1710.0,234.85098674802174,1.0,0.0
1715.0,235.80436647916864,1.0,0.0
1720.0,236.5009454178747,1.0,0.0
1725.0,237.13122400100843,1.0,0.0
1730.0,237.7615025841422,1.0,0.0
1735.0,238.69639256105756,1.0,0.0
1740.0,239.81671521398164,1.0,0.0
1745.0,240.93703786690568,1.0,0.0
1750.0,241.19554137488086,1.0,0.0
1755.0,241.40272655699664,1.0,0.0
1760.0,241.60991173911242,1.0,0.0
1765.0,241.8170969212282,1.0,0.0
1770.0,242.16144733217007,1.0,0.0
1775.0,243.5389842960786,1.0,0.0
1780.0,244.91652125998712,1.0,0.0
1785.0,245.42787519927123,1.0,0.0
1790.0,245.88335231154633,1.0,0.0
1795.0,246.33882942382144,1.0,0.0
1800.0,246.79430653609657,1.0,0.0
1805.0,247.49552724315532,1.0,0.0
1810.0,248.39911448450346,1.0,0.0
1815.0,249.15075150751508,1.0,0.0
